UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13
195234001,The College of Saint Rose,Main Campus,432 WESTERN AVE,ALBANY,NY,122031490,2,"Private nonprofit, 4-year or above",1420,3122,4542,0,2,0,0,0,0,0,0,0
195243001,St Thomas Aquinas College,Main Campus,125 RTE 340,SPARKILL,NY,109761050,2,"Private nonprofit, 4-year or above",898,1074,1972,0,0,1,0,1,0,0,0,0
195304001,Sarah Lawrence College,Sarah Lawrence College,ONE MEADWAY,BRONXVILLE,NY,107085940,2,"Private nonprofit, 4-year or above",462,1320,1782,0,4,0,0,0,0,0,0,0
195474001,Siena College,Main Campus,515 LOUDON RD,LOUDONVILLE,NY,122111462,2,"Private nonprofit, 4-year or above",1518,1689,3207,0,4,0,0,7,0,0,5,0
195526001,Skidmore College,Skidmore College,815 N BROADWAY,SARATOGA SPRINGS,NY,12866,2,"Private nonprofit, 4-year or above",1057,1645,2702,0,0,0,0,2,0,0,0,0
195720001,Saint John Fisher College,Main Campus,3690 EAST AVE,ROCHESTER,NY,14618,2,"Private nonprofit, 4-year or above",1541,2446,3987,0,2,0,1,2,1,1,0,1
195809001,St John's University-New York,Main Campus,8000 UTOPIA PKY,JAMAICA,NY,11439,2,"Private nonprofit, 4-year or above",9055,11674,20729,0,10,0,0,4,0,0,4,0
195809004,St John's University-New York,St. John's University-Manhatten,101 Murray Street,Manhattan,NY,10007,2,"Private nonprofit, 4-year or above",9055,11674,20729,0,2,0,0,0,0,0,0,0
196006001,SUNY College of Technology at Alfred,Alfred State College - Alfred Campus,10 Campus Drive,ALFRED,NY,14802,1,"Public, 4-year or above",2137,1418,3555,2,126,82,0,100,31,0,54,95
196015001,SUNY College of Technology at Canton,Main Campus,CORNELL DR,CANTON,NY,13617,1,"Public, 4-year or above",1561,1951,3512,0,3,8,2,3,13,0,6,4
196024001,SUNY College of Technology at Delhi,Main Campus,2 Main Street,DELHI,NY,13753,1,"Public, 4-year or above",1562,1746,3308,1,47,15,3,61,9,4,43,10
196033001,SUNY College of Agriculture and Technology at Cobleskill,Main Campus,State Rt 7,COBLESKILL,NY,12043,1,"Public, 4-year or above",1174,1279,2453,1,24,21,0,47,61,1,33,8
196042001,Farmingdale State College,Main Campus,2350 Broadhollow Road,FARMINGDALE,NY,117351021,1,"Public, 4-year or above",4696,3466,8162,0,2,1,0,8,1,0,5,0
196051001,Morrisville State College,Morrisville State College,State Route 20,MORRISVILLE,NY,134080901,1,"Public, 4-year or above",1587,1441,3028,3,39,18,4,49,40,3,57,27
196060001,SUNY at Albany,Main Campus,1400 WASHINGTON AVE,ALBANY,NY,12222,1,"Public, 4-year or above",8400,8938,17338,4,81,12,2,109,1,2,87,0
196079001,SUNY at Binghamton,Main Campus,"P. O. Box 6000, VESTAL PARKWAY EAST",BINGHAMTON,NY,139026000,1,"Public, 4-year or above",8474,7603,16077,1,39,2,0,105,6,2,55,0
196088001,University at Buffalo,Main Campus,CAPEN HALL,BUFFALO,NY,142604900,1,"Public, 4-year or above",15804,14046,29850,2,47,1,0,22,0,0,26,0
196097001,Stony Brook University,Stony Brook University,100 Nicolls Road,STONY BROOK,NY,11794,1,"Public, 4-year or above",12210,11933,24143,2,49,4,4,40,0,3,15,0
196103001,SUNY College of Environmental Science and Forestry,SUNY College of Environmental Science and Forestry,ONE FORESTRY DR,SYRACUSE,NY,13210,1,"Public, 4-year or above",1225,1004,2229,0,1,0,0,4,0,0,8,0
196112001,SUNY Institute of Technology at Utica-Rome,Main Campus,100 Seymour Raod,UTICA,NY,13502,1,"Public, 4-year or above",1346,1134,2480,0,8,12,0,11,2,0,11,5
196121001,SUNY College at Brockport,Main Campus,350 NEW CAMPUS DR,BROCKPORT,NY,14420,1,"Public, 4-year or above",3542,4586,8128,6,54,31,2,82,11,1,54,18
196130001,Buffalo State SUNY,Buffalo State College,1300 ELMWOOD AVE,BUFFALO,NY,142221095,1,"Public, 4-year or above",4578,6513,11091,0,32,0,6,60,3,2,12,1
196149001,SUNY College at Cortland,Main Campus,PO BOX 2000,CORTLAND,NY,13045,1,"Public, 4-year or above",3070,4040,7110,2,39,36,0,26,18,0,10,3
196158001,SUNY at Fredonia,Main Campus,CENTRAL AVE,FREDONIA,NY,14063,1,"Public, 4-year or above",2348,3043,5391,0,37,16,3,41,13,0,35,18
196167001,SUNY College at Geneseo,SUNY at Geneseo,1 College Circle,Geneseo,NY,144541477,1,"Public, 4-year or above",2357,3287,5644,0,26,3,0,62,7,0,33,4
196176001,State University of New York at New Paltz,"State University of New York, College at New Paltz",1 Hawk Drive,NEW PALTZ,NY,12561,1,"Public, 4-year or above",2753,4825,7578,1,28,9,2,24,1,1,105,17
196185001,SUNY Oneonta,Main Campus,RAVINE PKY,ONEONTA,NY,13820,1,"Public, 4-year or above",2356,3678,6034,2,82,2,0,92,0,0,59,2
196194001,SUNY College at Oswego,Main Campus,Route 104 West,OSWEGO,NY,13126,1,"Public, 4-year or above",3873,4244,8117,1,104,8,1,112,6,7,100,3
196200001,SUNY College at Potsdam,Main Campus,Pierrepont Avenue,Potsdam,NY,136762294,1,"Public, 4-year or above",1661,2381,4042,0,44,14,0,36,11,1,36,13
196219001,SUNY at Purchase College,Main Campus,735 ANDERSON HILL RD,PURCHASE,NY,10577,1,"Public, 4-year or above",1937,2416,4353,0,22,2,0,15,0,0,9,2
196237001,SUNY College at Old Westbury,SUNY College at Old Westbury,223 STORE HILL RD  PO Box 210,OLD WESTBURY,NY,115680210,1,"Public, 4-year or above",1850,2517,4367,1,2,0,0,6,0,2,9,0
196246001,SUNY College at Plattsburgh,Main Campus,101 Broad Street,PLATTSBURGH,NY,12901,1,"Public, 4-year or above",2577,3474,6051,0,22,18,1,23,7,0,57,6
196291001,SUNY Maritime College,SUNY Maritime College,6 PENNYFIELD AVE,BRONX,NY,10465,1,"Public, 4-year or above",1548,207,1755,0,1,0,0,1,0,0,0,0
196413001,Syracuse University,Main Campus,900 S. Crouse Ave.,SYRACUSE,NY,13244,2,"Private nonprofit, 4-year or above",9789,11478,21267,0,14,5,0,10,12,1,13,2
196866001,Union College,Main Campus,807 UNION ST,SCHENECTADY,NY,123082311,2,"Private nonprofit, 4-year or above",1210,1036,2246,0,0,0,0,0,0,0,0,0
197045001,Utica College,Main Campus,1600 BURRSTONE RD,UTICA,NY,135024892,2,"Private nonprofit, 4-year or above",1595,2433,4028,0,0,0,0,0,0,0,0,0
197133001,Vassar College,Main Campus,124 RAYMOND AVE,POUGHKEEPSIE,NY,12604,2,"Private nonprofit, 4-year or above",1099,1378,2477,0,1,0,0,0,0,0,0,0
197197001,Wagner College,Main Campus,ONE CAMPUS RD,STATEN ISLAND,NY,103014495,2,"Private nonprofit, 4-year or above",768,1477,2245,0,0,1,0,0,0,0,0,0
